Reading	Plate	Well	Type	Group	Sample	Meas. time [s]	RFU	Em	Ex	
4	1	 A05	Unknown	Assay	9 1/4	367.78	0.2378	520	490	
4	1	 B05	Unknown	Assay	9 2/4	368.03	0.249992	520	490	
4	1	 C05	Unknown	Assay	9 3/4	368.28	0.257727	520	490	
4	1	 D05	Unknown	Assay	9 4/4	368.53	0.216662	520	490	
5	1	 A01	Unknown	Assay	1 1/4	479.78	0.320154	520	490	
5	1	 B01	Unknown	Assay	2 1/4	480.03	0.239855	520	490	
5	1	 C01	Unknown	Assay	3 1/4	480.28	0.314629	520	490	
5	1	 D01	Unknown	Assay	4 1/4	480.53	0.326243	520	490	
5	1	 E01	Unknown	Assay	5 1/4	480.78	0.410517	520	490	
5	1	 F01	Unknown	Assay	6 1/4	481.03	0.861141	520	490	
5	1	 G01	Unknown	Assay	7 1/4	481.28	0.214921	520	490	
5	1	 H01	Unknown	Assay	8 1/4	481.53	2.06581	520	490	
5	1	 H02	Unknown	Assay	8 2/4	481.78	2.10412	520	490	
5	1	 G02	Unknown	Assay	7 2/4	482.03	0.220773	520	490	
5	1	 F02	Unknown	Assay	6 2/4	482.28	0.841902	520	490	
5	1	 E02	Unknown	Assay	5 2/4	482.53	0.361245	520	490	
5	1	 D02	Unknown	Assay	4 2/4	482.78	0.300933	520	490	
5	1	 C02	Unknown	Assay	3 2/4	483.03	0.302413	520	490	
5	1	 B02	Unknown	Assay	2 2/4	483.28	0.315597	520	490	
5	1	 A02	Unknown	Assay	1 2/4	483.53	0.306551	520	490	
5	1	 A03	Unknown	Assay	1 3/4	483.78	0.313258	520	490	
5	1	 B03	Unknown	Assay	2 3/4	484.03	0.331024	520	490	
5	1	 C03	Unknown	Assay	3 3/4	484.28	0.29138	520	490	
5	1	 D03	Unknown	Assay	4 3/4	484.53	0.331226	520	490	
5	1	 E03	Unknown	Assay	5 3/4	484.78	0.402589	520	490	
5	1	 F03	Unknown	Assay	6 3/4	485.03	0.866927	520	490	
5	1	 G03	Unknown	Assay	7 3/4	485.28	0.198106	520	490	
5	1	 H03	Unknown	Assay	8 3/4	485.53	2.18966	520	490	
5	1	 H04	Unknown	Assay	8 4/4	485.78	2.00713	520	490	
5	1	 G04	Unknown	Assay	7 4/4	486.03	0.228482	520	490	
5	1	 F04	Unknown	Assay	6 4/4	486.28	0.746503	520	490	
5	1	 E04	Unknown	Assay	5 4/4	486.53	0.340103	520	490	
5	1	 D04	Unknown	Assay	4 4/4	486.78	0.3015	520	490	
5	1	 C04	Unknown	Assay	3 4/4	487.03	0.290765	520	490	
5	1	 B04	Unknown	Assay	2 4/4	487.28	0.303596	520	490	
5	1	 A04	Unknown	Assay	1 4/4	487.53	0.293807	520	490	
5	1	 A05	Unknown	Assay	9 1/4	487.78	0.206408	520	490	
5	1	 B05	Unknown	Assay	9 2/4	488.03	0.218955	520	490	
5	1	 C05	Unknown	Assay	9 3/4	488.28	0.229916	520	490	
5	1	 D05	Unknown	Assay	9 4/4	488.53	0.202759	520	490	
6	1	 A01	Unknown	Assay	1 1/4	599.78	0.331776	520	490	
6	1	 B01	Unknown	Assay	2 1/4	600.03	0.254467	520	490	
6	1	 C01	Unknown	Assay	3 1/4	600.28	0.322513	520	490	
6	1	 D01	Unknown	Assay	4 1/4	600.53	0.367375	520	490	
6	1	 E01	Unknown	Assay	5 1/4	600.78	0.410234	520	490	
6	1	 F01	Unknown	Assay	6 1/4	601.03	0.878926	520	490	
6	1	 G01	Unknown	Assay	7 1/4	601.28	0.211703	520	490	
6	1	 H01	Unknown	Assay	8 1/4	601.53	2.16198	520	490	
6	1	 H02	Unknown	Assay	8 2/4	601.78	2.25736	520	490	
6	1	 G02	Unknown	Assay	7 2/4	602.03	0.222145	520	490	
6	1	 F02	Unknown	Assay	6 2/4	602.28	0.850705	520	490	
6	1	 E02	Unknown	Assay	5 2/4	602.53	0.378075	520	490	
6	1	 D02	Unknown	Assay	4 2/4	602.78	0.294741	520	490	
6	1	 C02	Unknown	Assay	3 2/4	603.03	0.307961	520	490	
6	1	 B02	Unknown	Assay	2 2/4	603.28	0.339072	520	490	
6	1	 A02	Unknown	Assay	1 2/4	603.53	0.315336	520	490	
6	1	 A03	Unknown	Assay	1 3/4	603.78	0.339041	520	490	
6	1	 B03	Unknown	Assay	2 3/4	604.03	0.322538	520	490	
6	1	 C03	Unknown	Assay	3 3/4	604.28	0.329014	520	490	
6	1	 D03	Unknown	Assay	4 3/4	604.53	0.328906	520	490	
6	1	 E03	Unknown	Assay	5 3/4	604.78	0.406834	520	490	
6	1	 F03	Unknown	Assay	6 3/4	605.03	0.836581	520	490	
6	1	 G03	Unknown	Assay	7 3/4	605.28	0.196749	520	490	
6	1	 H03	Unknown	Assay	8 3/4	605.53	2.21046	520	490	
6	1	 H04	Unknown	Assay	8 4/4	605.78	2.13807	520	490	
6	1	 G04	Unknown	Assay	7 4/4	606.03	0.212426	520	490	
6	1	 F04	Unknown	Assay	6 4/4	606.28	0.772452	520	490	
6	1	 E04	Unknown	Assay	5 4/4	606.53	0.385514	520	490	
6	1	 D04	Unknown	Assay	4 4/4	606.78	0.318213	520	490	
6	1	 C04	Unknown	Assay	3 4/4	607.03	0.280998	520	490	
6	1	 B04	Unknown	Assay	2 4/4	607.28	0.345322	520	490	
6	1	 A04	Unknown	Assay	1 4/4	607.53	0.325839	520	490	
6	1	 A05	Unknown	Assay	9 1/4	607.78	0.244656	520	490	
6	1	 B05	Unknown	Assay	9 2/4	608.03	0.270159	520	490	
6	1	 C05	Unknown	Assay	9 3/4	608.28	0.224464	520	490	
6	1	 D05	Unknown	Assay	9 4/4	608.53	0.245299	520	490	
7	1	 A01	Unknown	Assay	1 1/4	719.78	0.333953	520	490	
7	1	 B01	Unknown	Assay	2 1/4	720.03	0.253448	520	490	
7	1	 C01	Unknown	Assay	3 1/4	720.28	0.343113	520	490	
7	1	 D01	Unknown	Assay	4 1/4	720.53	0.374039	520	490	
7	1	 E01	Unknown	Assay	5 1/4	720.78	0.422989	520	490	
7	1	 F01	Unknown	Assay	6 1/4	721.03	0.944547	520	490	
7	1	 G01	Unknown	Assay	7 1/4	721.28	0.204132	520	490	
7	1	 H01	Unknown	Assay	8 1/4	721.53	2.1674	520	490	
7	1	 H02	Unknown	Assay	8 2/4	721.78	2.21312	520	490	
7	1	 G02	Unknown	Assay	7 2/4	722.03	0.19294	520	490	
7	1	 F02	Unknown	Assay	6 2/4	722.28	0.953477	520	490	
7	1	 E02	Unknown	Assay	5 2/4	722.53	0.412699	520	490	
7	1	 D02	Unknown	Assay	4 2/4	722.78	0.325316	520	490	
7	1	 C02	Unknown	Assay	3 2/4	723.03	0.300316	520	490	
7	1	 B02	Unknown	Assay	2 2/4	723.28	0.324067	520	490	
7	1	 A02	Unknown	Assay	1 2/4	723.53	0.331307	520	490	
7	1	 A03	Unknown	Assay	1 3/4	723.78	0.310141	520	490	
7	1	 B03	Unknown	Assay	2 3/4	724.03	0.348651	520	490	
7	1	 C03	Unknown	Assay	3 3/4	724.28	0.30968	520	490	
